date,team_a,team_b,goals_a,goals_b,match_weight,neutral,competition
2010-01-02,Portugal,Belgium,1,6,0.2,True,friendly
2010-01-05,Argentina,Brazil,1,2,0.2,True,friendly
2010-01-12,Uruguay,Portugal,4,0,0.2,False,friendly
2010-01-18,Denmark,Uruguay,1,2,0.2,False,friendly
2010-01-21,England,Argentina,2,0,0.7,False,continental
2010-02-02,Croatia,Serbia,0,1,0.4,False,qualifier
2010-02-03,Germany,Mexico,4,0,0.2,False,friendly
2010-02-05,Belgium,Poland,2,1,0.2,True,friendly
2010-02-07,Colombia,Uruguay,2,3,0.4,False,qualifier
2010-02-16,Netherlands,Ghana,3,2,0.2,False,friendly
2010-02-18,Poland,Italy,1,1,0.4,False,qualifier
2010-02-24,Serbia,USA,2,0,0.2,True,friendly
2010-02-25,Morocco,Portugal,0,0,0.4,False,qualifier
2010-03-02,Uruguay,Brazil,3,2,0.7,False,continental
2010-03-05,Croatia,Ecuador,2,1,0.2,False,friendly
2010-03-07,USA,Japan,1,2,0.2,True,friendly
2010-03-09,Poland,Mexico,0,0,0.4,False,qualifier
2010-03-09,Japan,Poland,1,2,0.7,True,continental
2010-03-14,Poland,Senegal,0,2,0.2,True,friendly
2010-03-18,England,Ecuador,1,0,0.7,True,continental
2010-03-18,Netherlands,Portugal,0,2,0.4,False,qualifier
2010-03-19,Ghana,Belgium,0,1,0.4,False,qualifier
2010-03-20,Brazil,England,3,3,0.7,False,continental
2010-03-26,Italy,Germany,0,1,0.4,False,qualifier
2010-04-01,England,Croatia,3,0,0.2,True,friendly
2010-04-02,Croatia,Portugal,2,3,0.2,True,friendly
2010-04-06,Ecuador,Senegal,3,1,0.2,False,friendly
2010-04-07,Brazil,Japan,3,0,0.4,False,qualifier
2010-04-08,Mexico,Argentina,1,2,0.2,True,friendly
2010-04-14,Spain,Portugal,0,2,0.2,True,friendly
2010-04-17,Japan,Ecuador,6,2,0.7,True,continental
2010-04-18,Italy,Ecuador,2,1,0.7,True,continental
2010-04-18,France,Brazil,2,2,0.4,False,qualifier
2010-04-19,Brazil,Belgium,0,1,0.2,True,friendly
2010-04-20,Switzerland,Croatia,2,2,0.2,True,friendly
2010-04-20,Belgium,USA,4,0,0.4,False,qualifier
2010-04-22,Ecuador,Senegal,3,1,0.2,True,friendly
2010-04-27,Serbia,Senegal,1,3,0.4,False,qualifier
2010-04-27,Ecuador,England,0,0,0.2,False,friendly
2010-05-03,Spain,Netherlands,3,1,0.2,True,friendly
2010-05-05,Brazil,Belgium,1,0,0.2,True,friendly
2010-05-08,Senegal,Switzerland,0,2,0.2,False,friendly
2010-05-09,Mexico,Brazil,1,2,0.4,False,qualifier
2010-05-15,Portugal,Switzerland,1,0,0.4,False,qualifier
2010-05-20,Brazil,Germany,3,0,0.2,False,friendly
2010-05-22,USA,Ecuador,1,0,0.2,False,friendly
2010-05-23,Italy,Brazil,3,1,0.2,False,friendly
2010-05-23,USA,Uruguay,4,3,0.4,False,qualifier
2010-05-25,Denmark,Germany,4,0,0.2,False,friendly
2010-06-01,Denmark,Brazil,0,2,0.7,True,continental
2010-06-03,Ecuador,Brazil,0,4,0.7,False,continental
2010-06-08,Japan,Denmark,5,2,0.4,False,qualifier
2010-06-09,Morocco,Germany,1,3,0.4,False,qualifier
2010-06-09,Croatia,Germany,0,1,0.7,True,continental
2010-06-13,Senegal,Italy,1,1,0.4,False,qualifier
2010-06-17,Argentina,Netherlands,1,1,0.4,False,qualifier
2010-06-18,Germany,Spain,4,3,0.2,False,friendly
2010-06-21,Brazil,Mexico,5,2,0.4,False,qualifier
2010-06-24,Ecuador,USA,1,1,0.2,False,friendly
2010-06-25,Colombia,Japan,5,0,0.2,True,friendly
2010-06-27,Uruguay,Colombia,2,0,0.2,True,friendly
2010-07-04,Senegal,Brazil,0,0,0.7,True,continental
2010-07-11,Italy,France,2,0,0.4,False,qualifier
2010-07-19,Uruguay,Netherlands,1,1,0.2,True,friendly
2010-07-20,Japan,Netherlands,0,3,0.4,False,qualifier
2010-07-20,Ghana,Mexico,0,3,0.2,True,friendly
2010-07-21,Mexico,Ghana,2,0,0.2,False,friendly
2010-07-21,Argentina,Japan,1,0,0.2,True,friendly
2010-07-25,Ecuador,Poland,2,1,0.2,True,friendly
2010-08-04,Germany,Senegal,1,1,0.2,True,friendly
2010-08-05,Spain,Croatia,3,2,0.2,True,friendly
2010-08-07,Germany,Italy,3,1,0.2,True,friendly
2010-08-10,Belgium,England,3,1,0.2,True,friendly
2010-08-15,Senegal,Argentina,2,2,0.4,False,qualifier
2010-08-17,Portugal,Croatia,1,0,0.2,True,friendly
2010-08-25,Ghana,Poland,2,2,0.2,True,friendly
2010-08-25,Germany,Italy,3,0,0.7,True,continental
2010-08-25,Ghana,Senegal,0,1,0.7,True,continental
2010-08-25,Denmark,Mexico,1,0,0.2,True,friendly
2010-08-26,USA,Poland,2,1,0.2,False,friendly
2010-09-01,Senegal,Poland,1,0,0.2,False,friendly
2010-09-01,Belgium,Mexico,1,0,0.4,False,qualifier
2010-09-03,Ghana,Ecuador,1,2,0.7,True,continental
2010-09-10,Italy,Switzerland,3,0,0.4,False,qualifier
2010-09-10,Poland,Italy,0,0,0.2,True,friendly
2010-09-10,Portugal,Croatia,2,0,0.4,False,qualifier
2010-09-12,Ghana,Germany,1,4,0.7,False,continental
2010-09-15,Denmark,Belgium,2,1,0.7,False,continental
2010-09-15,Uruguay,Poland,4,1,0.4,False,qualifier
2010-09-24,Colombia,USA,2,0,0.4,False,qualifier
2010-10-03,Ghana,Belgium,0,1,0.4,False,qualifier
2010-10-03,Senegal,Uruguay,3,2,0.4,False,qualifier
2010-10-06,Ecuador,Denmark,4,0,0.2,False,friendly
2010-10-06,Colombia,Belgium,1,2,0.4,False,qualifier
2010-10-11,Croatia,Switzerland,3,0,0.4,False,qualifier
2010-10-17,Belgium,Germany,1,1,0.7,True,continental
2010-10-23,Morocco,Italy,0,3,0.2,True,friendly
2010-10-25,Germany,Italy,2,3,0.4,False,qualifier
2010-10-26,Senegal,Argentina,1,0,0.7,True,continental
2010-11-01,Mexico,Netherlands,0,1,0.7,False,continental
2010-11-01,Uruguay,Germany,2,4,0.4,False,qualifier
2010-11-09,Uruguay,Spain,4,0,0.4,False,qualifier
2010-11-14,France,Argentina,4,1,0.2,False,friendly
2010-11-14,Brazil,Belgium,2,0,0.2,True,friendly
2010-11-17,Poland,England,0,1,0.4,False,qualifier
2010-11-17,Serbia,Senegal,1,3,0.7,True,continental
2010-11-18,Denmark,France,1,2,0.2,False,friendly
2010-11-19,Belgium,Serbia,6,1,0.2,False,friendly
2010-11-19,Argentina,USA,0,0,0.2,True,friendly
2010-11-21,Portugal,Switzerland,2,0,0.7,False,continental
2010-11-24,Japan,Poland,2,1,0.7,True,continental
2010-11-24,Ghana,Colombia,4,0,0.4,False,qualifier
2010-11-25,Mexico,Senegal,2,0,0.4,False,qualifier
2010-11-27,USA,Ecuador,1,1,0.2,False,friendly
2010-12-09,Serbia,Japan,2,2,0.4,False,qualifier
2010-12-09,Morocco,Brazil,3,0,0.7,True,continental
2010-12-14,Croatia,Germany,0,1,0.4,False,qualifier
2010-12-17,Argentina,Japan,3,0,0.2,False,friendly
2010-12-19,Brazil,Poland,3,0,0.2,True,friendly
2010-12-27,Netherlands,Uruguay,2,1,0.2,True,friendly
2011-01-01,Mexico,Senegal,2,0,0.2,True,friendly
2011-01-02,USA,Colombia,3,0,0.4,False,qualifier
2011-01-08,Portugal,Ecuador,2,0,0.4,False,qualifier
2011-01-12,Poland,Netherlands,2,3,0.4,False,qualifier
2011-01-13,Argentina,England,0,2,0.4,False,qualifier
2011-01-16,Ghana,Japan,3,1,0.4,False,qualifier
2011-01-17,Belgium,Uruguay,2,2,0.4,False,qualifier
2011-01-20,Portugal,Uruguay,3,4,0.7,False,continental
2011-01-21,Brazil,Italy,3,0,0.2,False,friendly
2011-01-22,Brazil,Poland,4,0,0.2,False,friendly
2011-01-25,Ghana,Japan,1,3,0.2,False,friendly
2011-01-26,Colombia,Switzerland,2,1,0.2,True,friendly
2011-01-26,Morocco,USA,1,1,0.7,False,continental
2011-01-27,Italy,Brazil,1,7,0.2,False,friendly
2011-02-05,Croatia,Portugal,0,0,0.2,True,friendly
2011-02-05,Japan,Denmark,3,4,0.2,False,friendly
2011-02-06,Senegal,Netherlands,1,2,0.4,False,qualifier
2011-02-14,USA,Ecuador,3,1,0.2,True,friendly
2011-02-17,Uruguay,USA,0,0,0.2,True,friendly
2011-02-18,Switzerland,Senegal,2,0,0.2,False,friendly
2011-02-18,Ghana,Japan,3,3,0.4,False,qualifier
2011-03-03,Portugal,Morocco,3,3,0.4,False,qualifier
2011-03-05,Italy,Netherlands,4,0,0.7,True,continental
2011-03-06,Mexico,Switzerland,1,0,0.2,True,friendly
2011-03-07,Switzerland,Italy,3,1,0.2,True,friendly
2011-03-09,Croatia,Germany,0,2,0.7,True,continental
2011-03-15,Argentina,Belgium,1,0,0.2,False,friendly
2011-03-16,Germany,Serbia,1,0,0.2,True,friendly
2011-03-19,Argentina,Denmark,0,1,0.2,False,friendly
2011-03-20,Ghana,Uruguay,1,3,0.4,False,qualifier
2011-03-20,Germany,Denmark,3,4,0.4,False,qualifier
2011-03-25,Italy,Switzerland,3,0,0.4,False,qualifier
2011-04-02,France,Denmark,1,1,0.2,False,friendly
2011-04-02,Spain,Ecuador,3,1,0.4,False,qualifier
2011-04-05,Mexico,USA,6,1,0.4,False,qualifier
2011-04-06,Argentina,Poland,1,0,0.2,False,friendly
2011-04-06,Belgium,Mexico,0,1,0.7,True,continental
2011-04-12,Spain,Serbia,2,0,0.7,False,continental
2011-04-12,Poland,Japan,3,0,0.4,False,qualifier
2011-04-19,Spain,Poland,2,1,0.2,False,friendly
2011-04-20,Netherlands,Japan,6,1,0.7,False,continental
2011-04-20,Brazil,Portugal,2,1,0.4,False,qualifier
2011-04-23,Serbia,Spain,3,0,0.2,False,friendly
2011-04-24,Mexico,Italy,0,1,0.7,False,continental
2011-04-26,Morocco,Ghana,1,3,0.4,False,qualifier
2011-05-03,Japan,Serbia,1,1,0.2,False,friendly
2011-05-11,Portugal,USA,3,1,0.2,False,friendly
2011-05-17,Portugal,Japan,1,0,0.4,False,qualifier
2011-05-21,Netherlands,Serbia,2,1,0.4,False,qualifier
2011-05-22,Serbia,Germany,1,1,0.7,True,continental
2011-05-24,Ghana,Italy,0,2,0.2,True,friendly
2011-05-25,Ecuador,Senegal,0,1,0.7,True,continental
2011-06-01,Uruguay,France,1,3,0.2,True,friendly
2011-06-02,Senegal,France,1,3,0.4,False,qualifier
2011-06-02,England,Morocco,3,0,0.2,False,friendly
2011-06-17,Belgium,Morocco,2,3,0.4,False,qualifier
2011-06-21,Argentina,Germany,2,3,0.4,False,qualifier
2011-06-22,USA,Belgium,2,0,0.4,False,qualifier
2011-06-23,Germany,Senegal,0,1,0.4,False,qualifier
2011-06-25,Croatia,Switzerland,2,1,0.2,True,friendly
2011-06-25,Poland,Netherlands,1,2,0.4,False,qualifier
2011-06-27,Netherlands,Senegal,1,2,0.2,False,friendly
2011-07-08,Switzerland,Morocco,1,0,0.4,False,qualifier
2011-07-08,Denmark,Croatia,3,2,0.4,False,qualifier
2011-07-10,Japan,Brazil,0,4,0.7,True,continental
2011-07-16,Serbia,Brazil,2,3,0.4,False,qualifier
2011-07-20,Ecuador,Morocco,5,1,0.2,False,friendly
2011-07-21,Serbia,Croatia,1,2,0.2,False,friendly
2011-07-23,Portugal,Spain,2,1,0.2,True,friendly
2011-08-02,Mexico,Argentina,1,1,0.4,False,qualifier
2011-08-07,Colombia,Croatia,2,0,0.2,False,friendly
2011-08-07,Argentina,Switzerland,1,2,0.2,False,friendly
